A,B,n,mean_diff,std_diff,t_stat,t_p,w_stat,w_p
FC-VQC,QT,15,-0.004568814440946345,0.06938283840515634,-0.25503341530031876,0.8024056279315092,50.0,0.5994873046875
FC-VQC,FQT,15,0.012335175959834925,0.06680341394272414,0.7151420600441039,0.4862770985027366,52.0,0.9749599188317098
FC-VQC,ResNet-VQC,15,-0.006773497259238792,0.04171675426854586,-0.6288514660497786,0.5395718704254487,43.0,0.550923682773407
ResNet-VQC,QT,15,0.002204682818292447,0.04409737615223834,0.19363283224466554,0.8492446556787132,59.0,0.97796630859375
FQT,QT,15,-0.01690399040078127,0.06665671178370501,-0.9821797618687892,0.3426811062222501,50.0,0.5699831072633743
