dataset,A,B,mean_diff,std_diff,t_stat,t_p
BostonHousing,FC-VQC,QT,0.08678388595581055,0.08053234076043252,1.8665060314201118,0.20294769616907554
BostonHousing,FC-VQC,FQT,0.1238640546798706,0.059793552949548585,3.58799277437226,0.06965898945581224
BostonHousing,FC-VQC,ResNet-VQC,0.053494771321614586,0.009852611528363756,9.404172853215341,0.01111905855112467
BostonHousing,ResNet-VQC,QT,0.03328911463419596,0.07080963565720962,0.8142738957807566,0.501021875674025
BostonHousing,FQT,QT,-0.03708016872406006,0.13876459626252122,-0.462832292336261,0.6889616905665952
CA_Housing,FC-VQC,QT,-0.05710675319035848,0.002403864062982131,-41.14700140668155,0.0005901182652822187
CA_Housing,FC-VQC,FQT,-0.044094622135162354,0.009206826571171611,-8.295380095221397,0.0142227785389301
CA_Housing,FC-VQC,ResNet-VQC,-0.03309140602747599,0.004019650028195371,-14.258951931497263,0.004882419460636127
CA_Housing,ResNet-VQC,QT,-0.024015347162882488,0.0061319435026831745,-6.783461300534872,0.021048187441735162
CA_Housing,FQT,QT,-0.013012131055196127,0.008715533352260628,-2.5859200110224716,0.12263436751902491
Concrete,FC-VQC,QT,-0.07856786251068115,0.020208602132055848,-6.733940765488357,0.02134901733871397
Concrete,FC-VQC,FQT,-0.005915820598602295,0.04630291105663575,-0.22129282179923027,0.8454035658461995
Concrete,FC-VQC,ResNet-VQC,-0.04489086071650187,0.05584829817598519,-1.392222397027543,0.29845562867833564
Concrete,ResNet-VQC,QT,-0.03367700179417928,0.04678297661594432,-1.2468269950618522,0.3386791740894255
Concrete,FQT,QT,-0.07265204191207886,0.029544214869098563,-4.259278116642792,0.05094663823783115
WineQuality_Red,FC-VQC,QT,0.026388888888888906,0.02138167266436205,2.1376670117594436,0.1659925655183207
WineQuality_Red,FC-VQC,FQT,-0.013888888888888876,0.014632852434517698,-1.6439898730535705,0.241901956421097
WineQuality_Red,FC-VQC,ResNet-VQC,-0.009722222222222188,0.012729376930432844,-1.3228756555322954,0.3168699489360267
WineQuality_Red,ResNet-VQC,QT,0.036111111111111094,0.01339395939026805,4.669737852696126,0.042926774017996994
WineQuality_Red,FQT,QT,0.04027777777777778,0.016839382851364153,4.142857142857126,0.0536207669109859
WineQuality_RedandWhite,FC-VQC,QT,-0.0003422313483915455,0.0021372340856941996,-0.27735009811263883,0.8075499102701085
WineQuality_RedandWhite,FC-VQC,FQT,0.0017111567419575424,0.009259239738856045,0.3200921998322361,0.7792446071558286
WineQuality_RedandWhite,FC-VQC,ResNet-VQC,0.0003422313483915085,0.005654589884277243,0.10482848367219183,0.9260778729045427
WineQuality_RedandWhite,ResNet-VQC,QT,-0.0006844626967830539,0.006600719206702895,-0.17960530202678288,0.8740118423302521
WineQuality_RedandWhite,FQT,QT,-0.0020533880903490878,0.009125456280611437,-0.3897418814769829,0.7343155343379687
