model,best_epoch,n_params,train_R2,train_RMSE,train_MAE,val_R2,val_RMSE,val_MAE,test_R2,test_RMSE,test_MAE
SVR_RBF,N/A,,0.6588853411217785,5.475654508130606,3.119577499026816,0.769084808859416,4.002321850520113,2.470540927134517,0.5481436116040521,5.9927669356238145,3.3715859977097873
KernelRidge_RBF,N/A,,0.8394493888251203,3.7565729606979903,2.584136038651638,0.8550924482794275,3.1705256208023043,2.150950775170246,0.6709166664579472,5.114228387154579,3.149377671367592
Ridge,N/A,,0.7439386119607481,4.744144344094799,3.3504669442953325,0.7673601527870845,4.0172402887414895,2.8463330355749066,0.6661410395466998,5.151203330847538,3.458500983866402
LinearRegression,N/A,,0.7439559658575303,4.743983580328618,3.3553467557527616,0.7678149298991448,4.013311807254788,2.842523562732646,0.6664823033015334,5.148569930735857,3.465760920840672
MLPRegressor_ParamMatch,296,218.0,0.932074248790741,2.443447486514545,1.8479783535003662,0.9180726408958435,2.383966485421572,1.767392635345459,0.77527916431427,4.226188375164203,2.540862798690796
