model,best_epoch,n_params,train_R2,train_RMSE,train_MAE,val_R2,val_RMSE,val_MAE,test_R2,test_RMSE,test_MAE
QuantumTransformerVQC_L2_K3_noAttn,6764,306,0.9415569305419922,4.05943675827492,3.0893959999084473,0.8758912682533264,5.982692232913186,4.408151149749756,0.7974652051925659,7.119717697804846,5.264762878417969
QuantumTransformerVQC_L2_K3_ffnmultiple,1935,828,0.9612558484077454,3.305235760888865,2.4170608520507812,0.8789555430412292,5.908374222729172,4.08672571182251,0.8201201558113098,6.709716401566696,4.869097709655762
FullQuantumTransformerVQC_L2_K3_LN,912,585,0.9135485291481018,4.937255080703609,3.6106467247009277,0.6928638219833374,9.411547414290878,6.517935276031494,0.7557863593101501,7.818040027905312,5.68105936050415
FullQuantumTransformerVQC_L2_K3_noAttn,6649,351,0.9052939414978027,5.167591914525407,3.847872257232666,0.7952523231506348,7.684312857570127,5.256260871887207,0.7648210525512695,7.672062702563148,5.338247776031494
FullQuantumTransformerVQC_L2_K3_ffnmultiple,3451,513,0.9464855194091797,3.884499749338685,2.97467303276062,0.8141955733299255,7.320210100921343,5.0998382568359375,0.8182079792022705,6.745286213971831,5.010587215423584
