model,best_epoch,n_params,train_R2,train_RMSE,train_MAE,val_R2,val_RMSE,val_MAE,test_R2,test_RMSE,test_MAE
FullyConnectedVQCs_8t3t1_L3_K3,N/A,486.0,0.7434941530227661,0.5862080521613273,0.4118322432041168,0.7210878133773804,0.6027917316709468,0.41931653022766113,0.7515679001808167,0.573152993328721,0.40955686569213867
ResNetVQC_L3_K3,N/A,486.0,0.7812889814376831,0.541300591842029,0.37148112058639526,0.7604066133499146,0.5586899894559033,0.3797767162322998,0.7850106954574585,0.5331815778130418,0.37163224816322327
MLPRegressor_L3_K3,N/A,13121.0,0.8422352075576782,0.4597356613105401,0.3119904398918152,0.773679792881012,0.5429941898670886,0.3567630350589752,0.7993361949920654,0.5151115230527433,0.34572872519493103
QuantumTransformerVQC_L2_K3,N/A,828.0,0.8108964562416077,0.503330197161363,0.3410166800022125,0.7795148491859436,0.5359486748333875,0.361280620098114,0.8068833947181702,0.5053316699881761,0.346295028924942
FullQuantumTransformerVQC_L2_K3,N/A,513.0,0.7800351977348328,0.5428497952577068,0.3727317750453949,0.7590601444244385,0.5602577075028058,0.38451051712036133,0.7857344150543213,0.5322834229499692,0.3733237683773041
SVR_RBF,N/A,,-0.060185051458668815,1.1917741607100256,0.887384792571101,-0.05665489180640604,1.1732757291396358,0.8786712593283179,-0.05469718786110023,1.1809475392005526,0.8824837454622949
KernelRidge_RBF,N/A,,-0.00709223747253418,1.1615495631678023,0.9169890284538269,-0.023406982421875,1.1546695320682638,0.9080714583396912,-0.01849079132080078,1.1605002667066406,0.9177780747413635
Ridge,N/A,,-0.00029599666595458984,1.157623660689126,0.9144054651260376,-0.022440433502197266,1.1541241356809147,0.9111054539680481,-0.023671865463256836,1.1634482997133808,0.9231423735618591
LinearRegression,N/A,,-0.0001302957534790039,1.1575277845866807,0.9143646955490112,-0.0006115436553955078,1.1417375129566478,0.9007018208503723,-0.0010946989059448242,1.1505467773570082,0.9124870896339417
MLPRegressor_ParamMatch,N/A,183.0,0.7837502360343933,0.5382461724665689,0.36849865317344666,0.7627348303794861,0.5559688865031496,0.37691041827201843,0.790827751159668,0.525918858107658,0.3667803108692169
XGBRegressor,N/A,,-0.3011324405670166,1.3202734044172437,1.029689073562622,-0.0860586166381836,1.1894882021587903,0.9351762533187866,-0.10208654403686523,1.2071869882399353,0.9514912366867065
CatBoostRegressor,N/A,,-0.04966402153403826,1.1858459717240206,0.9338883085130314,-0.025806208299626654,1.1560221736551186,0.9119083973926377,-0.027703505619133262,1.1657371328106434,0.919146393267074
FullQuantumTransformerVQC_L2_K3_H2,N/A,999.0,0.8146623373031616,0.4982931986512843,0.3363329768180847,0.7787833213806152,0.5368370336712789,0.3572215139865875,0.8108450770378113,0.5001214893087225,0.3410021662712097
FullQuantumTransformerVQC_L2_K3_H3,N/A,1323.0,0.8122377395629883,0.5015419489372828,0.33897194266319275,0.7765905857086182,0.539491068439954,0.3610301911830902,0.8063046932220459,0.506088293410656,0.3437674343585968
QuantumTransformerVQC_L2_K3_H2,N/A,1638.0,0.8359553217887878,0.4687963621736014,0.323558509349823,0.7825509309768677,0.5322458246227669,0.3571881353855133,0.8132383823394775,0.49694755252423894,0.3406032919883728
QuantumTransformerVQC_L2_K3_H3,N/A,2286.0,0.8394242525100708,0.46381323249634654,0.3157963752746582,0.7823448181152344,0.5324979877433903,0.3531434237957001,0.8143110871315002,0.4955183131060511,0.3359319865703583
