model,best_epoch,n_params,train_Accuracy,train_F1_macro,val_Accuracy,val_F1_macro,test_Accuracy,test_F1_macro
SVC_RBF,N/A,,0.675603217158177,0.32819865151955774,0.625,0.279718202872229,0.6041666666666666,0.27085330038322414
LogisticRegression,N/A,,0.6094727435210009,0.31966163085948157,0.6083333333333333,0.27315386273242026,0.6083333333333333,0.27522770971046834
MLPClassifier_ParamMatch,339,198.0,0.6175156389633601,0.2938479070860641,0.6041666666666666,0.28006731231540627,0.6041666666666666,0.2834735100263199
