model,best_epoch,n_params,train_R2,train_RMSE,train_MAE,val_R2,val_RMSE,val_MAE,test_R2,test_RMSE,test_MAE
QuantumTransformerVQC_L2_K3_noAttn,1927,510,0.9698184132575989,1.628759583381336,1.2445049285888672,0.9214135408401489,2.3348537214641016,1.7739856243133545,0.7956535220146179,4.030052776133083,2.4895031452178955
QuantumTransformerVQC_L2_K3_ffnmultiple,621,1380,0.9620120525360107,1.8272948377178204,1.3663920164108276,0.9218553304672241,2.3282813717344335,1.7677809000015259,0.7776051163673401,4.204260236734115,2.301114320755005
FullQuantumTransformerVQC_L2_K3_LN,240,975,0.9083251953125,2.8386432781172752,2.1931047439575195,0.792461097240448,3.7943332783053556,2.845306634902954,0.8096850514411926,3.889230133404118,2.919802665710449
FullQuantumTransformerVQC_L2_K3_noAttn,2336,585,0.9596983194351196,1.8821203455376252,1.4061923027038574,0.9203521609306335,2.3505672744117843,1.7729703187942505,0.8935684561729431,2.908454797024607,2.167656898498535
FullQuantumTransformerVQC_L2_K3_ffnmultiple,2709,855,0.9812401533126831,1.284104493699218,0.9637647867202759,0.815991222858429,3.5727696217046225,2.5524489879608154,0.8846672177314758,3.0276349721317293,2.331101179122925
