model,best_epoch,n_params,train_Accuracy,train_F1_macro,val_Accuracy,val_F1_macro,test_Accuracy,test_F1_macro
QuantumTransformerVQC_L2_K3_noAttn,312,402,0.6496872207327972,0.31134440799956353,0.625,0.2854938271604938,0.6083333333333333,0.2914674142069294
QuantumTransformerVQC_L2_K3_ffnmultiple,288,1098,0.677390527256479,0.37703815070581137,0.6083333333333333,0.3157272665163626,0.6125,0.30210096214891907
FullQuantumTransformerVQC_L2_K3_LN,244,774,0.6586237712243074,0.31956292020795707,0.6083333333333333,0.267912881434894,0.6291666666666667,0.2875100285613427
FullQuantumTransformerVQC_L2_K3_noAttn,414,462,0.6523681858802503,0.32178646991422605,0.5791666666666667,0.2699455768350511,0.6,0.2948165137614679
FullQuantumTransformerVQC_L2_K3_ffnmultiple,512,678,0.7122430741733691,0.35072339340588443,0.65,0.30868686267293083,0.5916666666666667,0.287824616151531
