model,best_epoch,n_params,train_R2,train_RMSE,train_MAE,val_R2,val_RMSE,val_MAE,test_R2,test_RMSE,test_MAE
QuantumTransformerVQC_L2_K3_noise0.001,334,1380,0.9654581546783447,1.7424429804531956,1.3049770593643188,0.9327311515808105,2.1601933343335773,1.5265610218048096,0.7790989875793457,4.190116178954904,2.2452971935272217
QuantumTransformerVQC_L2_K3_noise0.005,331,1380,0.9606493711471558,1.8597808523181683,1.4078080654144287,0.9262415170669556,2.261995446865852,1.6516221761703491,0.7961053848266602,4.025594366508145,2.4914863109588623
QuantumTransformerVQC_L2_K3_noise0.01,648,1380,0.9757662415504456,1.459473473046777,1.0528478622436523,0.9333195090293884,2.1507264307298795,1.6152948141098022,0.842041015625,3.543229973530466,2.190650224685669
QuantumTransformerVQC_L2_K3_noise0.05,9,1380,-2.828395366668701,18.344008695737607,16.955904006958008,-4.334131240844727,19.2361249584725,18.249181747436523,-4.040577411651611,20.015539617304228,18.763484954833984
FullQuantumTransformerVQC_L2_K3_noise0.001,211,855,0.926804780960083,2.536454865899089,1.9106683731079102,0.8880149722099304,2.7871846521018497,2.2188048362731934,0.854665994644165,3.3986841572665285,2.60957932472229
FullQuantumTransformerVQC_L2_K3_noise0.005,417,855,0.9552963972091675,1.9822433917497977,1.482283115386963,0.9141278266906738,2.4406866126886144,1.7459174394607544,0.8984594345092773,2.840841461763832,2.1545581817626953
FullQuantumTransformerVQC_L2_K3_noise0.01,363,855,0.9298374652862549,2.483353314756699,1.8415685892105103,0.9141653776168823,2.440152607819987,1.9074184894561768,0.8610405325889587,3.3233130685946652,2.397934675216675
FullQuantumTransformerVQC_L2_K3_noise0.05,6209,855,0.8644125461578369,3.4521967818397075,2.272489070892334,0.8699113130569458,3.00403879416416,2.136854410171509,0.764938473701477,4.322330272689265,3.017754316329956
