model,best_epoch,n_params,train_R2,train_RMSE,train_MAE,val_R2,val_RMSE,val_MAE,test_R2,test_RMSE,test_MAE
SVR_RBF,N/A,,0.7809291854842905,0.5417455945932251,0.3566783860366111,0.7496199635798866,0.5711278679841864,0.38170286388690583,0.788269410089671,0.5291252848389746,0.3585775460448361
KernelRidge_RBF,N/A,,0.7821665968743187,0.54021341541832,0.3759350815420177,0.7424222356148594,0.5792788703163834,0.3964978439935756,0.7834733981443439,0.5350844640485309,0.3747348771593613
Ridge,N/A,,0.6324929616708249,0.7016749257313872,0.5072750138421112,0.6175845353465579,0.7058318085280316,0.5112076226779058,0.6440778790346745,0.6860317283195743,0.49745052795823536
LinearRegression,N/A,,0.6324930459790455,0.7016748452472582,0.5072791441126082,0.6175825936754524,0.7058336004161938,0.5112126673375406,0.6440808122773876,0.686028901434709,0.4974571213864752
MLPRegressor_ParamMatch,9733,183.0,0.7896537184715271,0.5308484074215418,0.36429208517074585,0.7597545385360718,0.5594498003597315,0.3757030963897705,0.7925683259963989,0.523726113305021,0.3636663854122162
