model,best_epoch,n_params,train_Accuracy,train_F1_macro,val_Accuracy,val_F1_macro,test_Accuracy,test_F1_macro
SVC_RBF,N/A,,0.606294014084507,0.29869776841384343,0.5492813141683778,0.2537685009668796,0.5924024640657084,0.27122064553177333
LogisticRegression,N/A,,0.5481954225352113,0.28529499333423397,0.5225872689938398,0.27327890035127533,0.5574948665297741,0.26980821681759587
MLPClassifier_ParamMatch,1001,204.0,0.559419014084507,0.27966723453020026,0.5277207392197125,0.2712592269289246,0.5728952772073922,0.2872264860207247
