model,best_epoch,n_params,train_R2,train_RMSE,train_MAE,val_R2,val_RMSE,val_MAE,test_R2,test_RMSE,test_MAE
SVR_RBF,N/A,,0.674724682889194,9.576898741872307,7.366278928439858,0.6073699698270068,10.641118409647389,8.362114976910659,0.6075241212719404,9.911044202251396,7.901270762320538
KernelRidge_RBF,N/A,,0.8585920445605395,6.314460670863529,4.709146978953558,0.7961002678320133,7.668383901891828,5.768705121455699,0.7785826945952805,7.444211583774976,5.81347045309864
Ridge,N/A,,0.6196266832987822,10.356293807170097,8.182770364884979,0.5831419136475916,10.964520260886001,8.721271602131331,0.6050111206598665,9.942723497673226,7.880393054805437
LinearRegression,N/A,,0.6196723624953413,10.355671942592283,8.175017546802112,0.5824665373461029,10.973398798235133,8.71568836941249,0.6043000954301108,9.951668494607972,7.878298948316382
MLPRegressor_ParamMatch,5374,183.0,0.9313482046127319,4.399721544297821,3.2461750507354736,0.9021018743515015,5.313524573764207,3.8005893230438232,0.8426703214645386,6.275066007593721,4.804225444793701
