model,best_epoch,n_params,train_R2,train_RMSE,train_MAE,val_R2,val_RMSE,val_MAE,test_R2,test_RMSE,test_MAE
QuantumTransformerVQC_L2_K3_noAttn,9999,306,0.7953096628189087,0.523662888695808,0.361363023519516,0.7701618671417236,0.5471980366980456,0.3723735213279724,0.8004172444343567,0.5137220873060343,0.35822737216949463
QuantumTransformerVQC_L2_K3_ffnmultiple,4256,828,0.8010794520378113,0.5162296506828975,0.3507554829120636,0.7761201858520508,0.5400587081784896,0.3662051558494568,0.8080381751060486,0.5038185634761615,0.3473087251186371
FullQuantumTransformerVQC_L2_K3_LN,9957,585,0.8399198055267334,0.4630969267868183,0.31333833932876587,0.8073643445968628,0.500958626409324,0.32973620295524597,0.8317699432373047,0.4716485212624568,0.3179747760295868
FullQuantumTransformerVQC_L2_K3_noAttn,9995,351,0.7683843970298767,0.557040850327892,0.38722169399261475,0.7446365356445312,0.5767836087326362,0.3966965675354004,0.7753987312316895,0.544970301728878,0.38569724559783936
FullQuantumTransformerVQC_L2_K3_ffnmultiple,9864,513,0.7976322770118713,0.5206834450255798,0.35284093022346497,0.7709484696388245,0.5462608976608313,0.3692641258239746,0.7982184290885925,0.5165441585730013,0.35545581579208374
