model,best_epoch,n_params,train_Accuracy,train_F1_macro,val_Accuracy,val_F1_macro,test_Accuracy,test_F1_macro
QuantumTransformerVQC_L2_K3_noAttn,900,402,0.5757042253521126,0.2891313050926453,0.5646817248459959,0.28797467965949974,0.5811088295687885,0.2786351106613192
QuantumTransformerVQC_L2_K3_ffnmultiple,578,1098,0.5970510563380281,0.31982414502665274,0.5687885010266941,0.3012633512868968,0.5903490759753593,0.29511240898451657
FullQuantumTransformerVQC_L2_K3_LN,348,774,0.6007922535211268,0.2961004779240029,0.5667351129363449,0.2795083777333645,0.5965092402464066,0.2862799964000229
FullQuantumTransformerVQC_L2_K3_noAttn,3472,462,0.5875880281690141,0.30206462063366996,0.5687885010266941,0.2858030532822436,0.5780287474332649,0.30280926653019674
FullQuantumTransformerVQC_L2_K3_ffnmultiple,975,678,0.59375,0.3063059037857102,0.5523613963039015,0.2855264595822343,0.5934291581108829,0.28286510936433357
