model,best_epoch,n_params,train_Accuracy,train_F1_macro,val_Accuracy,val_F1_macro,test_Accuracy,test_F1_macro
FullyConnectedVQCs_12t8t6_L3_K3,N/A,612.0,0.6613047363717605,0.3141617885208569,0.6166666666666667,0.28941292089421566,0.5958333333333333,0.2645642279968952
ResNetVQC_L3_K3,N/A,570.0,0.647899910634495,0.311743060904593,0.5958333333333333,0.27682266234358116,0.6083333333333333,0.29299958397652753
MLPClassifier_L3_K3,N/A,13638.0,0.6595174262734584,0.32531877294368855,0.6333333333333333,0.29520697167755994,0.5958333333333333,0.27478965778029874
QuantumTransformerVQC_L2_K3,N/A,1098.0,0.6541554959785523,0.3101272440968769,0.6,0.26920731644510915,0.5875,0.2634201317722762
FullQuantumTransformerVQC_L2_K3,N/A,678.0,0.6300268096514745,0.34641532811308134,0.5541666666666667,0.25599049489171577,0.6083333333333333,0.2928853368251925
SVC_RBF,N/A,,0.4066130473637176,0.1382888850488643,0.4083333333333333,0.1357962213225371,0.4083333333333333,0.1357962213225371
LogisticRegression,N/A,,0.4164432529043789,0.14840761398637903,0.45,0.16277724204435873,0.4041666666666667,0.14205991209808003
MLPClassifier_ParamMatch,N/A,198.0,0.6148346738159071,0.2946969322830281,0.5916666666666667,0.27308801285687273,0.5791666666666667,0.2636643351297634
XGBClassifier,N/A,,0.33958891867739055,0.1918242656422023,0.39166666666666666,0.14745196324143692,0.37916666666666665,0.14325013419216318
CatBoostClassifier,N/A,,0.36639857015192134,0.19327919397619983,0.36666666666666664,0.14515993265993263,0.36666666666666664,0.16130923998531163
FullQuantumTransformerVQC_L2_K3_H2,N/A,1470.0,0.6523681858802503,0.3003312972523646,0.5958333333333333,0.2689242050791549,0.5833333333333334,0.28362475432769046
FullQuantumTransformerVQC_L2_K3_H3,N/A,1974.0,0.6854334226988382,0.3291881383815947,0.6166666666666667,0.2796027911969941,0.6,0.2821160156663491
QuantumTransformerVQC_L2_K3_H2,N/A,2322.0,0.680071492403932,0.326687941388554,0.6,0.26331569664903,0.5958333333333333,0.26986005611341296
QuantumTransformerVQC_L2_K3_H3,N/A,3258.0,0.6845397676496873,0.3361261808582265,0.5791666666666667,0.26429228155970746,0.6041666666666666,0.3055731094459992
