model,best_epoch,n_params,train_R2,train_RMSE,train_MAE,val_R2,val_RMSE,val_MAE,test_R2,test_RMSE,test_MAE
QuantumTransformerVQC_L2_K3,N/A,1380,0.9841026067733765,1.1820862489399246,0.8777192831039429,0.9259068369865417,2.2671217611129566,1.7207121849060059,0.781499981880188,4.167282491315745,2.4750967025756836
FullQuantumTransformerVQC_L2_K3,N/A,855,0.987738311290741,1.0381515640084595,0.7610618472099304,0.8841517567634583,2.834852615373701,2.1494412422180176,0.799470067024231,3.992241368238267,2.781503438949585
SVR_RBF,N/A,,-0.0274189743866311,9.502976113242891,6.853988496724739,-0.0649190419063912,8.59496384133154,5.9639701378568475,-0.08935090206413143,9.304886353946804,6.770488033640653
Ridge,N/A,,-0.03519248962402344,9.538858147509103,7.065221309661865,-0.07487869262695312,8.635061835778297,6.649285793304443,-0.12213730812072754,9.44387339442569,7.154013156890869
MLPRegressor_ParamMatch,N/A,218,0.9479066729545593,2.1398188054391625,1.632757544517517,0.9089980721473694,2.5125284032022788,1.714674472808838,0.8178275227546692,3.8051218650441294,2.303196668624878
KernelRidge_RBF,N/A,,-0.02964961528778076,9.513286735493613,7.23892068862915,-0.17118382453918457,9.013599293789573,6.4151129722595215,-0.19287550449371338,9.73699044105113,7.415940284729004
LinearRegression,N/A,,-0.016597509384155273,9.452797724835762,6.984014987945557,-0.0027294158935546875,8.340222016450845,6.246849536895752,0.052278757095336914,8.678956146055599,6.611917018890381
XGBRegressor,N/A,,-1.1879558563232422,13.86772226081576,10.540318489074707,-0.40742647647857666,9.880947205393886,7.760629653930664,-0.5741274356842041,11.185286489406414,8.58367919921875
CatBoostRegressor,N/A,,-0.6218115085943678,11.939497132263813,8.946314520705233,-0.22794461480758677,9.229435668354412,7.070299600475302,-0.36999868976776806,10.43487498633121,7.858156956979877
FullyConnectedVQCs_15t5t1_L3_K3,N/A,720,0.9535859823226929,2.019809135635586,1.5042589902877808,0.9210909605026245,2.3396405623771797,1.6711345911026,0.8887778520584106,2.9731910014048815,2.1845345497131348
ResNetVQC_15t5t1_L3_K3,N/A,720,0.9783321619033813,1.3800463407448134,1.043858528137207,0.8582685589790344,3.135586620975667,2.3380932807922363,0.8311207294464111,3.6636616501816484,2.76855206489563
FullQuantumTransformerVQC_L2_K3_H2,N/A,2025,0.9754827618598938,1.467984913345688,1.0133602619171143,0.7874266505241394,3.8400786940140565,2.9195234775543213,0.625821590423584,5.453389770725643,3.7118442058563232
FullQuantumTransformerVQC_L2_K3_H3,N/A,2745,0.9784674048423767,1.3757324002121227,0.9526554942131042,0.8293883204460144,3.44025075264709,2.543292999267578,0.807569682598114,3.910784965219828,3.061051607131958
QuantumTransformerVQC_L2_K3_H2,N/A,3090,0.9689767956733704,1.651312540098718,1.209761619567871,0.9357872009277344,2.1105541183231598,1.5583950281143188,0.7632496953010559,4.337829287119807,2.7387895584106445
QuantumTransformerVQC_L2_K3_H3,N/A,4350,0.9768829345703125,1.425449698581267,1.070505142211914,0.9281913042068481,2.231897434366494,1.7442318201065063,0.8341755270957947,3.6303751326578912,2.3271257877349854
FullyConnectedVQCs_16t4t1_L3_K3,N/A,,0.8113250732421875,3.872436044360652,2.8024816513061523,0.8113250732421875,3.872436044360652,2.8024816513061523,0.8113250732421875,3.872436044360652,2.8024816513061523
MLPRegressor_L3_K3,N/A,,0.7981926202774048,4.004936986229855,2.4859085083007812,0.7981926202774048,4.004936986229855,2.4859085083007812,0.7981926202774048,4.004936986229855,2.4859085083007812
